AVG_length=38.900324		
AVG_width=9.945946		
AVG_ar=3.951307		
		
STD_length=5.476710		
STD_width=1.846596		
STD_ar=0.365072		
Index	Length	Width
194	44.98182768	10.79269451
195	43.82957885	11.47904546
196	36.33533597	8.328132057
197	34.0246224	7.099184398
198	33.1678695	8.638961709
199	40.20179655	9.269775765
200	33.63805461	8.781140628
201	37.9089522	10.31841367
202	39.30755657	10.46747309
203	35.53792373	7.996966894
204	31.92517331	8.030447238
205	39.85109004	10.36612809
206	38.23419964	10.03842842
207	36.62708485	9.531536857
208	41.25812109	9.013189756
209	38.00496808	9.942927757
210	39.30589538	10.42218384
211	37.61042534	7.938076399
212	37.37119334	9.725137167
213	37.23944317	8.488215593
214	40.94650872	8.919129625
215	50.32205829	17.91791513
216	33.69971636	8.280411912
217	35.28442799	8.006583262
218	41.84511192	11.35826579
219	41.52802888	10.25786146
220	34.70630932	9.468219127
221	37.79296042	10.03090831
222	49.67038101	10.60669653
223	37.7049424	9.142271201
224	38.27744883	8.815479148
225	40.92769441	10.91405184
226	42.14744828	11.00233424
227	31.92360164	8.458390177
228	32.3259757	8.657903528
229	41.32741639	11.27159046
230	33.99117172	9.010086996
231	27.85200299	7.448790734
232	39.13803205	10.19866756
233	43.81997393	11.07225717
234	32.88955168	8.470548289
235	47.85319038	10.47913056
236	31.50340623	8.519367567
237	36.62314213	9.078641218
238	39.25454841	9.715621761
239	38.45823946	10.47723726
240	37.08871214	9.89393622
241	40.82163645	10.30900338
242	38.12966132	10.3715613
243	34.66164458	9.313816003
244	41.10289778	10.78780254
245	31.81793921	8.559056551
246	30.13311909	7.570758523
247	36.27967991	9.669584142
248	31.91324523	8.188881555
249	36.36122387	9.406140003
250	36.61751324	9.425025097
251	30.55430538	7.928855032
252	45.28098321	11.07560661
253	38.88756725	10.63637935
254	37.9039728	10.26154189
255	40.41062754	10.97292412
256	45.76349402	10.94355147
257	30.32083967	8.278778826
258	28.8512226	6.61570873
259	29.543599	8.068570271
260	37.36931982	7.848457035
261	28.74750863	7.726338843
262	36.60319954	9.774607493
263	42.13450017	11.05292139
264	42.31410423	11.34315897
265	37.64940707	9.365992527
266	44.39024047	11.53786778
267	43.5621566	8.246472035
268	39.59918887	10.44268849
269	43.7661331	10.38380892
270	43.00334353	10.81048671
271	48.87621621	15.12733657
272	26.46211257	6.014116399
273	36.93464209	9.890214158
274	46.84227167	12.32947731
275	42.92097105	9.50882978
276	54.64910531	13.97512522
277	41.97164954	9.507777486
278	39.83470714	9.884689352
279	45.30064686	10.81786527
280	43.06386242	10.83616436
281	46.4855116	14.20899687
282	37.42966385	9.049675539
283	43.4174042	11.14884047
284	41.76951743	10.61148754
285	36.66025867	9.8139046
286	42.71895967	10.65170163
287	40.33966273	9.634090283
288	35.59436668	8.281376255
289	39.13271125	10.30719127
290	37.38226793	10.01184003
291	39.30471714	9.091097011
292	40.47806182	8.846937651
293	32.9951704	8.693310997
294	44.71416395	12.0160216
295	40.23202269	9.291429507
296	57.39026245	14.74616557
297	43.31931495	9.775776362
298	35.38063122	9.626698201
299	26.96648529	6.987017206
300	48.12127461	14.56068177
301	36.402025	8.463349804
302	34.95656595	9.295775035
303	32.99147956	8.655814032
304	40.43655291	10.31377774
305	40.14832625	9.856928972
306	31.49424263	7.819999289
307	40.18110038	10.34288393
308	29.94209487	6.756001638
309	40.9494106	10.93190962
310	34.27417334	7.933613255
311	39.00918375	10.67178578
312	34.38202362	7.287154256
313	34.49411431	8.516002515
314	36.13217967	7.411729883
315	44.79583282	10.76241112
316	38.0892682	10.04002716
317	28.69324938	7.481002287
318	29.63946916	8.113938107
319	41.49439293	10.4732935
320	33.62139276	8.657239469
321	36.68003889	10.0030376
322	42.10792947	11.1674029
323	59.76944282	14.95612692
324	39.29058663	10.64120055
325	29.57055689	7.831632814
326	39.97455508	10.54054146
327	34.68582549	9.318579951
328	34.87470765	8.200268401
329	36.06751821	9.323393859
330	38.50293751	8.700894594
331	40.05330542	10.7271858
332	43.15943282	10.38981043
333	47.74031698	13.15401501
334	36.95755733	8.491299618
335	33.76269165	8.46452752
336	31.41465961	8.355134181
337	36.12502282	9.390967605
338	41.96211124	9.517077437
339	37.46095998	8.772331956
340	28.93123445	7.39466835
341	44.47802951	11.1934792
342	34.39790484	9.117575069
343	48.34423612	11.09966367
344	35.5331983	9.39127049
345	44.45842415	10.7564783
346	41.85220633	11.35212897
347	42.13520794	10.67413809
348	40.56831141	10.4662959
349	35.8475127	7.776617906
350	34.61498141	8.64503504
351	41.26693913	10.65209819
352	31.79787379	7.579074875
353	38.92700279	10.46826101
354	38.66450165	8.273957631
355	30.05795134	7.684807563
356	37.92633015	9.822646658
357	38.14432891	9.322542448
358	33.99606577	8.756987818
359	26.23915939	7.138594957
360	41.44892881	9.008294661
361	33.80031612	8.541595855
362	35.50863851	7.199345442
363	44.48802995	11.54785364
364	42.83529284	7.706846417
365	29.65580835	7.675718383
366	46.15609662	10.10085102
367	33.43691338	8.778225221
368	41.32979368	9.775697258
369	31.92984671	8.440951338
370	33.99958591	9.168140365
371	42.28656347	10.52200817
372	28.61415764	7.744536458
373	37.38036943	8.31549932
374	43.08470014	11.2808519
375	39.73202152	10.58552782
376	43.82579018	11.39501387
377	39.92895358	10.92965723
378	36.01309866	9.603491519
379	34.93052817	8.32689137
380	42.74086738	11.61963553
381	49.43646981	14.7228829
382	37.65347885	10.09549795
383	39.57356327	10.1656863
384	48.5675307	13.9154161
385	36.12880316	9.863863082
386	42.66610555	10.79385817
387	38.57393148	10.18725469
388	38.79230494	10.13926341
389	35.74351978	6.821282401
390	42.81343093	11.39303002
391	35.80751094	9.232295974
392	52.79931124	13.54794262
393	37.94780487	9.932888806
394	35.54836133	9.25640611
395	38.35811433	10.20635524
396	47.49775844	13.70932981
397	36.69506037	9.099584062
398	42.56291201	11.61031372
399	47.60492801	13.32665791
400	37.29389185	9.975823667
401	37.03214429	9.318994207
402	39.79043791	10.64859887
403	35.69717719	9.732525085
404	35.18552273	9.533362499
405	39.91650924	9.538212837
406	39.31355184	10.55072092
407	48.43448988	13.81374219
408	31.65075034	7.366984993
409	47.20106762	13.04778324
410	35.85429901	9.502712734
411	36.12843679	9.552915815
412	37.19803002	9.736986147
413	41.99981481	11.27562477
414	38.32370815	9.371125975
415	36.49538881	9.67436058
416	37.32605397	10.20463681
417	44.44316536	11.06270534
418	39.50990934	9.82526126
419	41.85241449	10.32840161
420	33.21901038	8.887164232
421	37.0586567	9.794072337
422	46.15652129	13.79937228
423	38.81352569	9.75733571
424	34.01995733	9.273733058
425	55.36484452	16.78642387
426	42.79122762	11.71756552
427	37.146121	9.568726252
428	26.46657572	6.548431105
429	33.83356071	6.275579809
430	31.65075034	6.821282401
431	36.83492497	9.549795362
432	42.95202986	9.6398014
433	39.16447784	10.03352604
434	54.28490944	15.75470179
435	41.67395536	10.99729447
436	39.93754263	10.80435926
437	38.43718525	10.37193808
438	33.70569913	9.071815355
439	41.37363824	11.30524306
440	48.01637408	15.60464627
441	41.4769442	10.30412494
442	32.37765574	8.318143587
443	55.49816845	16.77388481
444	39.6821359	8.986835558
445	33.13085496	8.992877664
446	39.22284843	10.44582976
447	39.03087496	9.644049089
448	33.22969361	7.89908426
449	45.66784035	10.34526539
450	37.36481088	9.160293433
451	40.24322635	10.75619103
452	48.88406834	12.31318288
453	56.43600734	14.44956011
454	34.71292701	9.003752413
455	39.57020342	9.872565588
456	40.27503874	10.69639552
457	43.0519843	11.62697869
458	40.68805023	10.2564813
459	39.58096992	10.01315045
460	55.17809193	14.69852088
461	37.70581671	9.988557365
462	34.5534862	8.49466467
463	47.2214099	13.24318525
464	50.64569034	17.65504553
465	40.57569725	10.99857575
466	38.10938566	9.540597413
467	47.3849683	14.10499979
468	53.44299067	17.17121494
469	31.22259663	8.227376691
470	46.1910482	14.98278088
471	38.66361069	9.683953008
472	56.02608508	13.29708021
473	34.65211043	9.004090688
474	39.27589822	10.75683635
475	40.39834974	10.05864059
476	42.34048758	10.74070117
477	38.35099495	10.18431951
478	40.15024141	9.504968245
479	45.47122055	10.61282711
480	40.31837953	10.46493135
481	38.10938982	9.302083597
482	42.81626203	9.968662652
483	31.94384399	8.158447765
484	45.28546301	12.70252868
485	51.35879829	14.27043795
486	39.92896607	10.81264855
487	46.87950894	13.19591007
488	37.49810983	10.06046935
489	47.79561083	16.26821208
490	44.11982475	10.1128249
491	34.42482942	8.680843754
492	43.18152372	11.01271355
493	43.57235272	11.65879732
494	37.279141	9.927724133
495	38.713055	9.595543626
496	39.99325283	10.80837588
497	45.74743169	11.77139699
498	46.29863827	12.95977042
499	37.36271253	9.916010462
500	51.79726886	17.61870755
501	38.72387146	10.18141035
502	35.64308239	9.232390691
503	46.37766756	16.70290855
504	40.7634657	10.89196199
505	45.6119553	9.894457683
506	37.54592625	10.2702267
507	39.95421697	9.672175846
508	45.29331514	12.82401091
509	41.25953248	10.22919451
510	36.18171557	9.862914873
511	33.60399192	8.752548613
512	38.03198009	10.36330948
513	33.83355655	7.366983952
514	39.77180262	9.633017172
515	37.47596897	10.26104228
516	46.38748898	14.44602852
517	43.75905119	11.84506384
518	35.1246999	9.060423306
519	38.66024668	9.743664209
520	40.89546152	10.41452114
521	46.24663765	11.97700553
522	38.72628622	10.38965535
523	40.62858883	10.30768151
524	35.36014739	9.1677157
525	38.35905525	9.830305196
526	45.33056074	12.432751
527	50.47748977	15.00682128
528	47.68021442	10.99307801
529	36.02520993	9.735519597
530	41.33870332	9.317367366
531	45.95362727	11.78588243
532	36.57122894	9.879627722
533	49.475081	14.23631593
534	44.16252438	10.17392043
535	36.01637108	9.276944065
536	46.47081487	16.61825557
537	35.75607654	9.024013504
538	40.15612427	10.49212967
539	41.06928681	10.40028134
540	36.12473971	9.885263898
541	40.88484906	10.41566711
542	45.67530529	11.89631713
543	46.58639864	14.31697934
544	38.29162931	10.44238768
545	36.71969925	9.37452017
546	36.95671217	9.921016927
547	45.26891357	14.66897337
548	40.38074696	10.72195763
549	43.45364642	9.695435611
550	35.10267146	9.461169484
551	40.04238071	10.43948893
552	48.73717596	11.66023785
553	36.58095876	9.140529867
554	38.52758889	9.364344869
555	43.49067136	10.81428268
556	37.62409788	9.36352156
557	44.96700188	11.60663641
558	39.02473814	10.6256753
559	34.18063675	9.061008261
560	45.07886358	10.53941318
561	37.85647279	10.35873496
562	40.52594069	10.21951361
563	37.69787714	10.12089874
564	38.70168897	10.53646551
565	42.70935059	11.50839104
566	31.85914002	8.69380748
567	41.0780882	9.365719825
568	40.0261019	9.971748758
569	37.23465944	10.01831617
570	37.07996488	9.687230629
571	40.20404894	9.749889504
572	43.85960932	11.92673687
573	35.27177132	8.04180598
574	29.22756304	6.288774602
