1	14.6	15.0	22.6	24.9	0	8.9	7.0	37.0	8.11	2	866.5	187.18	0.06	2.86	[[0.0053400000000000045, 2.0, 2.4792500000000004, 0.7211150000000011, 0.10000000000000053, 0.00036500000000000074], [0.01865, 6.5, 6.274499999999989, 0.06720000000000004, 0.10000000000000053, 0.00036500000000000074]]
2	11.7	5.2	40.3	10.1	0	11.3	12.3	35.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
3	12.7	15.0	28.9	21.3	0	9.0	10.0	38.0	12.66	2	920.5	191.49	0.06	4.05	[[0.0008599999999999997, 3.0, 2.725999999999999, 6.429164999999998, 0.027000000000000135, 0.005624999999999998], [0.004299999999999998, 1.5, 0.9282499999999914, 0.03986, 0.027000000000000135, 0.005624999999999998]]
4	5.1	9.4	35.7	19.7	0	9.2	18.0	32.0	0.56	1	538.5	151.83	0.03	1.76	[[0.0017950000000000015, 0.5, 2.255999999999986, 1.413590000000001, 0.034999999999999976, 0.0013500000000000005]]
5	13.7	13.5	28.4	23.8	0	9.1	7.9	38.0	13.24	2	911.0	204.03	0.04	3.93	[[0.0023650000000000025, 5.0, 6.098249999999993, 4.20261, 0.4295, 0.001060000000000002], [0.0035400000000000015, 8.0, 0.3055000000000092, 0.038995, 0.4295, 0.001060000000000002]]
6	7.8	11.3	10.8	14.3	0	7.8	17.7	31.0	4.21	2	812.5	153.38	0.02	1.72	[[9.49999999999996e-05, 0.0, 0.08225000000000193, 5.016430000000001, 0.05699999999999994, 0.00036000000000000094], [0.00046000000000000034, 3.5, 5.498999999999995, 0.20536500000000002, 0.05699999999999994, 0.00036000000000000094]]
7	15.0	14.8	21.0	24.4	0	8.7	7.4	37.0	11.43	2	875.0	189.43	0.04	3.2	[[0.006995000000000001, 0.0, 2.819999999999993, 2.1598750000000004, 0.3414999999999999, 0.004175000000000002], [0.025854999999999996, 25.0, 15.509999999999991, 1.23885, 0.3414999999999999, 0.004175000000000002]]
8	6.8	6.8	16.0	18.4	0	9.8	19.8	40.0	9.76	2	807.0	164.64	0.02	2.8	[[0.0015299999999999984, 5.5, 7.190999999999995, 8.421415, 0.19099999999999984, 0.0009649999999999988], [0.0014999999999999979, 0.0, 4.488499999999988, 0.22419, 0.19099999999999984, 0.0009649999999999988]]
9	14.8	14.3	19.4	24.8	0	8.6	6.7	36.0	11.28	2	853.5	174.56	0.04	2.78	[[0.006359999999999999, 3.0, 2.819999999999993, 12.990215, 0.15200000000000014, 0.00409], [0.020529999999999993, 1.5, 2.843500000000006, 0.0702799999999999, 0.15200000000000014, 0.00409]]
10	9.7	8.5	11.2	12.7	0	10.7	14.3	39.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
