#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),num_peak,wl1,FWHM1,ISPR1,wl2,FWHM2,ISPR2,I400,Note
22,0.111,0.0187,3.45,1.16,13.53046043,18.3,5.128205128,2,832,185.9,0.082,515,85.575,0.099,0.054,R
23,0.084,0.0067,2.975,0.935,20.11104644,16.8,6.451612903,2,757.5,185.63,0.091,516,97.032,0.053,0.046,R
24,0.127,0.0193,7.475,0.98,12.4057901,10.9,6.25,2,961.5,253.14,0.18,526.5,106.737,0.047,0.034,R
25,0.085,0.0184,8.725,0.745,16.6438662,13.6,5.263157895,2,733,197.78,0.068,531.5,115.08,0.063,0.046,R
27,0.142,0.0186,2.875,0.865,13.29314843,11.6,5.714285714,2,838,170.41,0.023,518.5,96.468,0.024,0.018,R
29,0.111,0.007,7.15,1.1,19.67270519,5.1,5.555555556,2,765,250.32,0.054,534,389.524,0.043,0.029,R
30,0.083,0.006,3.225,0.96,20.11104644,17.1,6.25,2,765.5,178.47,0.095,523.5,90.416,0.054,0.045,R
33,0.05,0.0104,7.35,0.855,12.19833337,10.5,5.555555556,2,763,172.58,0.013,538,78.49,0.011,0.008,R
35,0.087,0.0071,3.15,0.9,19.67270519,17.2,6.451612903,2,758.5,181.8,0.045,522,109.816,0.03,0.026,R
36,0.128,0.0095,7.8,0.835,22.02603983,13.2,6.25,2,787,181.54,0.094,515,96.374,0.035,0.031,R
39,0.129,0.0165,9.2,1.08,11.99622763,15.9,6.060606061,2,881,226.49,0.05,517,93.659,0.013,0.016,R
40,0.101,0.0088,6.275,1.075,11.99622763,6.5,6.060606061,2,872,195.34,0.057,526.5,105.727,0.019,0.02,R
41,0.076,0.0145,7.95,0.58,22.54927333,14,5.555555556,2,685,225.67,0.047,528.5,117.23,0.058,0.037,R
42,0.061,0.0054,2.925,0.705,14.54895257,15.7,5.714285714,2,812.5,180.87,0.041,503,101.438,0.014,0.02,R
43,0.109,0.0125,8.9,1.155,13.29314843,5.4,6.25,2,852.5,200.75,0.047,518,101.99,0.015,0.013,R
44,0.061,0.0111,3.75,1.05,10.71668441,5.2,6.666666667,2,841,175.37,0.017,512.5,122.929,0.012,0.011,R
45,0.121,0.0084,4.075,1.01,18.05986686,11.6,6.060606061,2,777,172.85,0.12,518.5,95.645,0.047,0.045,R
46,0.096,0.0137,3.925,1.085,15.99966262,9,5.405405405,2,835,171.2,0.088,522,93.178,0.045,0.036,R
47,0.102,0.0063,6.025,1.015,16.6438662,15.4,5.882352941,2,793.5,195.46,0.093,521,85.446,0.042,0.039,R
48,0.141,0.0132,9.075,0.925,11.6073345,15.5,5.263157895,2,845.5,221.24,0.052,503.5,97.419,0.014,0.023,R
49,0.081,0.0055,9.95,0.775,16.31681622,11.4,6.25,2,726.5,241.66,0.029,0,800,0,0.018,R
